Όνομα,Περιγραφή,Μέθοδος
Άρτεμις Σίφορντ,"Μάνατζερ πολιτικής κυβερνοασφάλειας για το Facebook και μέλος στο ευρωπαϊκό κέντρο του αμερικανικού think tank Atlantic Council","Predator & ΕΥΠ"
Θωμάς Βαρβιτσιώτης,"Πρόεδρος και συνιδρυτής της εταιρείας συμβούλων, διαφήμισης και διαχείρισης κρίσεων V+O","Predator & ΕΥΠ"
Γιάννης Ολύμπιος,"Συνιδρυτής της V+O","Predator & ΕΥΠ"
Φωτεινή Ιωάννου,"Γενική διευθύντρια διαχείρισης απαιτήσεων και μέλος της Εκτελεστικής Επιτροπής της Εθνικής Τράπεζας","Predator & ΕΥΠ"
Γιάννης Φυτίλης,"Δικηγόρος","Predator & ΕΥΠ"
Θόδωρος Καρυπίδης,"Πρόεδρος ΠΑΕ Αρης, επιχειρηματίας","Predator"
Παναγιώτης Μπόμης,"Διευθύνων σύμβουλος DPG Digital Media","Predator"
Φίλιππος Βρυώνης,"Ιδιοκτήτης του τηλεοπτικού σταθμού Εpsilon","Predator"
Πάνος Κυριακόπουλος,"Πρόεδρος και διευθύνων σύμβουλος Star","Predator"
Γιώργος Γεράρδης,"Οικονομικός σύμβουλος της V+O","Predator"
Γιώργος Πατεράκης,"Αντιπρόεδρος του Ελληνογερμανικού Επιμελητηρίου","Predator"
Βαγγέλης Πιττερός,"Ιδιοκτήτης εστιατορίου στο Κολωνάκι","Predator"
Γρηγόρης Δημητριάδης,"Διευθύνων σύμβουλος του Υπερταμείου (ΕΕΣΥΠ), μέλος του ΔΣ της ΔΕΗ","Predator"
Δημήτρης Μαζιώτης,"Συνιδρυτής της W2 Strategy με εξειδίκευση στη διαχείριση κρίσεων, την πολιτική και την εταιρική επικοινωνία","Predator"
Γιώργος Πολίτης,"Διευθύνων σύμβουλος της ΑΕΠΕΥ Euroxx","Predator"
Νίκος Μπάμπαλης,"Business development chief officer της Wind","Predator"
Ροσάννα Μόρτογλου,"Επικεφαλής εκπρόσωπος του ομίλου Libra στην Ελλάδα","Predator"
Κώστας Τούμπουρος,"Μέλος του διοικητικού συμβουλίου της ΕΛΛΑΚΤΩΡ ΑΕ","Predator"
Ολίνκα Βαρβιτσιώτη,"Σύζυγος του προέδρου της V+O Θωμά Βαρβιτσιώτη, διευθύντρια της «The Art Newspaper Greece»","Predator"
Ειρήνη Καρυπίδη,"Επιχειρηματίας, αδερφή Θ. Καρυπίδη","Predator"
Γιώργος Φιλιόπουλος,"Πρώην CEO της εταιρείας Enterprise Greece, η οποία αποτελεί τον αρµόδιο εθνικό φορέα, υπό την εποπτεία του υπουργείου Εξωτερικών, που προσελκύει ξένες άµεσες επενδύσεις στην Ελλάδα και προωθεί τις εξαγωγές ελληνικών προϊόντων και υπηρεσιών στο εξωτερικό","ΕΥΠ"
Μιχάλης Οικονοµάκης,"Πρόεδρος της Ελληνικής Εταιρείας Αξιοποίησης Ανακύκλωσης (ΕΕΑΑ)","ΕΥΠ"
Παναγιώτης Κανελλόπουλος,"Στενός συνεργάτης του µεγαλοεπιχειρηµατία Ευάγγελου Μυτιληναίου","ΕΥΠ"
Π. Ζ.,"Συντηρητής έργων τέχνης με εξειδίκευση στην αποκατάσταση θρησκευτικών εικόνων","Predator & ΕΥΠ"
Σ. Φ.,"Συνταξιούχος ταχυδρόμος και κάτοικος Χανίων","Predator & ΕΥΠ"
Αμφιλόχιος,"Μητροπολίτης Αδριανουπόλεως, πρώην διευθυντής του γραφείου εκπροσώπησης του Οικουμενικού Πατριαρχείου στην Αθήνα","Predator"
Λαμπρινή Ρόρη,"Επίκουρη καθηγήτρια στο τμήμα Πολιτικής Επιστήμης και Δημόσιας Διοίκησης του ΕΚΠΑ","Predator"
Γκρατσιέλα Κλάδη,"Εργάζεται στο τμήμα εμπορίας καυσίμων της εταιρείας Aegean","Predator"
